text,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,label
"webify helps insurance carriers stretch legacy apps ( ziff davis ) , ziff davis - the company ' s software , built on ibm ' s on-demand architecture , lets carriers extend the life of legacy applications while pushing out new functionality .",0.148380355276907,0.15384615384615385,0.15384615384615385,0.14968999114260406,0.148380355276907,0.15384615384615385,0.15384615384615385,0.14968999114260406,0.148380355276907,0.15384615384615385,0.15384615384615385,0.14968999114260406,0.148380355276907,0.15384615384615385,0.15384615384615385,0.14968999114260406,0.148380355276907,0.15384615384615385,0.15384615384615385,0.14968999114260406,0.148380355276907,0.15384615384615385,0.15384615384615385,0.14968999114260406,0.148380355276907,0.15384615384615385,0.15384615384615385,0.14968999114260406,0.148380355276907,0.15384615384615385,0.15384615384615385,0.14968999114260406,3
"update 1 thursday #39 s commodities roundup , precious metals settled lower thursday as the us dollar staged a reversal and edged higher on better-than-expected us economic data .",0.08359456635318704,0.08205128205128205,0.08205128205128205,0.08237378210806022,0.08359456635318704,0.08205128205128205,0.08205128205128205,0.08237378210806022,0.08359456635318704,0.08205128205128205,0.08205128205128205,0.08237378210806022,0.08359456635318704,0.08205128205128205,0.08205128205128205,0.08237378210806022,0.08359456635318704,0.08205128205128205,0.08205128205128205,0.08237378210806022,0.08359456635318704,0.08205128205128205,0.08205128205128205,0.08237378210806022,0.08359456635318704,0.08205128205128205,0.08205128205128205,0.08237378210806022,0.08359456635318704,0.08205128205128205,0.08205128205128205,0.08237378210806022,2
"california regulator is suing four insurers and a broker it says received kickbacks , the california insurance commissioner said on wednesday night that the broker had agreed to cooperate in developing a case against the insurers .",0.13793103448275862,0.12307692307692307,0.12307692307692307,0.1355181576616475,0.13793103448275862,0.12307692307692307,0.12307692307692307,0.1355181576616475,0.13793103448275862,0.12307692307692307,0.12307692307692307,0.1355181576616475,0.13793103448275862,0.12307692307692307,0.12307692307692307,0.1355181576616475,0.13793103448275862,0.12307692307692307,0.12307692307692307,0.1355181576616475,0.13793103448275862,0.12307692307692307,0.12307692307692307,0.1355181576616475,0.13793103448275862,0.12307692307692307,0.12307692307692307,0.1355181576616475,0.13793103448275862,0.12307692307692307,0.12307692307692307,0.1355181576616475,2
"mexico fta paves way for asian trade agreements , mexico city -- japan signed a free trade agreement ( fta ) with mexico on friday , the first such pact to cover the politically sensitive agricultural sector , officials said .",0.13270637408568445,0.14358974358974358,0.14358974358974358,0.1346324180690877,0.13270637408568445,0.14358974358974358,0.14358974358974358,0.1346324180690877,0.13270637408568445,0.14358974358974358,0.14358974358974358,0.1346324180690877,0.13270637408568445,0.14358974358974358,0.14358974358974358,0.1346324180690877,0.13270637408568445,0.14358974358974358,0.14358974358974358,0.1346324180690877,0.13270637408568445,0.14358974358974358,0.14358974358974358,0.1346324180690877,0.13270637408568445,0.14358974358974358,0.14358974358974358,0.1346324180690877,0.13270637408568445,0.14358974358974358,0.14358974358974358,0.1346324180690877,0
"t amp t , costa rica through , angus eve scored a 90th-minute match-winner yesterday to send trinidad and tobago into the final concacaf world cup qualifying round after beating st vincent and the grenadines , 2-1 .",0.12121212121212122,0.1282051282051282,0.1282051282051282,0.12223206377325067,0.12121212121212122,0.1282051282051282,0.1282051282051282,0.12223206377325067,0.12121212121212122,0.1282051282051282,0.1282051282051282,0.12223206377325067,0.12121212121212122,0.1282051282051282,0.1282051282051282,0.12223206377325067,0.12121212121212122,0.1282051282051282,0.1282051282051282,0.12223206377325067,0.12121212121212122,0.1282051282051282,0.1282051282051282,0.12223206377325067,0.12121212121212122,0.1282051282051282,0.1282051282051282,0.12223206377325067,0.12121212121212122,0.1282051282051282,0.1282051282051282,0.12223206377325067,1
"bomb blasts in baghdad kill at least 16 -police , insurgents detonated at least two bombs near a us military convoy in southern baghdad on thursday , killing at least 16 people , while a suicide bomber killed two iraqi police and a us soldier west of the capital .",0.17241379310344832,0.18974358974358974,0.18974358974358974,0.17626217891939766,0.17241379310344832,0.18974358974358974,0.18974358974358974,0.17626217891939766,0.17241379310344832,0.18974358974358974,0.18974358974358974,0.17626217891939766,0.17241379310344832,0.18974358974358974,0.18974358974358974,0.17626217891939766,0.17241379310344832,0.18974358974358974,0.18974358974358974,0.17626217891939766,0.17241379310344832,0.18974358974358974,0.18974358974358974,0.17626217891939766,0.17241379310344832,0.18974358974358974,0.18974358974358974,0.17626217891939766,0.17241379310344832,0.18974358974358974,0.18974358974358974,0.17626217891939766,0
"pound adds to pressure on jones , the head of the world anti-doping agency said yesterday that if marion jones is found to have taken drugs she should be stripped of all her medals , regardless of when she won them .",0.12225705329153605,0.14871794871794874,0.14871794871794874,0.12666076173604962,0.12225705329153605,0.14871794871794874,0.14871794871794874,0.12666076173604962,0.12225705329153605,0.14871794871794874,0.14871794871794874,0.12666076173604962,0.12225705329153605,0.14871794871794874,0.14871794871794874,0.12666076173604962,0.12225705329153605,0.14871794871794874,0.14871794871794874,0.12666076173604962,0.12225705329153605,0.14871794871794874,0.14871794871794874,0.12666076173604962,0.12225705329153605,0.14871794871794874,0.14871794871794874,0.12666076173604962,0.12225705329153605,0.14871794871794874,0.14871794871794874,0.12666076173604962,1
"anheuser-busch teams with saigon beer ( ap ) , ap - beer giant anheuser-busch cos . inc . continues to grow its international business , reaching a cooperation agreement with the largest brewer in vietnam .",0.11180773249738768,0.11794871794871796,0.11794871794871796,0.112488928255093,0.11180773249738768,0.11794871794871796,0.11794871794871796,0.112488928255093,0.11180773249738768,0.11794871794871796,0.11794871794871796,0.112488928255093,0.11180773249738768,0.11794871794871796,0.11794871794871796,0.112488928255093,0.11180773249738768,0.11794871794871796,0.11794871794871796,0.112488928255093,0.11180773249738768,0.11794871794871796,0.11794871794871796,0.112488928255093,0.11180773249738768,0.11794871794871796,0.11794871794871796,0.112488928255093,0.11180773249738768,0.11794871794871796,0.11794871794871796,0.112488928255093,0
"blair admits british troops may stay in us area for months , tony blair admitted yesterday that british troops could be in the american-controlled area of iraq for months , contradicting assurances from his defence secretary that",0.13584117032392895,0.12307692307692307,0.12307692307692307,0.13374667847652788,0.13584117032392895,0.12307692307692307,0.12307692307692307,0.13374667847652788,0.13584117032392895,0.12307692307692307,0.12307692307692307,0.13374667847652788,0.13584117032392895,0.12307692307692307,0.12307692307692307,0.13374667847652788,0.13584117032392895,0.12307692307692307,0.12307692307692307,0.13374667847652788,0.13584117032392895,0.12307692307692307,0.12307692307692307,0.13374667847652788,0.13584117032392895,0.12307692307692307,0.12307692307692307,0.13374667847652788,0.13584117032392895,0.12307692307692307,0.12307692307692307,0.13374667847652788,0
"sony prepares for psp launch , japan is preparing for the long-awaited launch of sony #39 s answer to the nintendo ds , the psp . the target for the psp launch is this coming sunday .",0.08777429467084641,0.12307692307692307,0.12307692307692307,0.09300265721877769,0.08777429467084641,0.12307692307692307,0.12307692307692307,0.09300265721877769,0.08777429467084641,0.12307692307692307,0.12307692307692307,0.09300265721877769,0.08777429467084641,0.12307692307692307,0.12307692307692307,0.09300265721877769,0.08777429467084641,0.12307692307692307,0.12307692307692307,0.09300265721877769,0.08777429467084641,0.12307692307692307,0.12307692307692307,0.09300265721877769,0.08777429467084641,0.12307692307692307,0.12307692307692307,0.09300265721877769,0.08777429467084641,0.12307692307692307,0.12307692307692307,0.09300265721877769,3
